Year	Rating	Conference	Title	Author Names
2015	8.2	Drama	4Jim	"Alfonso, Don;Barlag, Jos;Berman, Sebas;Blom, Gijs;Boen, Steven;Coenen, Dennis;Drost, Peter;Ennali, Anouar;Havelaar, Mitchell;Hoole, Hans (II);Kelen, Bram van der;Kessels, Sjeng;Klumpenaar, Jelle;Kuijpers, Pieter;Parren, Christopher;Rudge, Jasha;Schippers, Rogier;Smulders, Jonas;Soesan, Marcel;Stoop, Bob;Vinken, Sol;Wegbrands, Jeroen"
2009	8.4	Family	5 Ingredient Fix	"Flay, Bobby;Gerhard, Keegan"
2008	8.3	Comedy	5th Year	"Anderson, Blake (VI);DeVine, Adam;Holm, Anders (IV)"
2013	9.1	Drama	7 Lives Xposed	"Brackett, David;Bryant, Colin (I);Campangna, Robert;David, Mike;Davis, Mike (XXI);Duncan, Steve (IX);Eftimoski, Jason;Gunther, Bill (III);Hansen, Danny (I);Kasper, Kent;Ketcham, Tony;La Touche, Richard;Lezama, Javier;Long, Andrew Espinoza;Printers, Casey;Ramirez, Wilson;Roberts, Ian (XXIII);Scott, J. (VII);Shaffrey, Mike;Sinclair, Kurt;Sowers, Christopher;Stennette, Gary Anthony (I);Tucker, Dan (IV);Ursino, Phil;Wilson, Jesse (V)"
2000	8.8	Comedy	7 Numara	"Alkan, Engin;Ert•À_rkler, Taner;Girgin, Volkan;Karkin, Engin;Sara•À_oglu, Ahmet;Sari, Ruhi;Selvi, Okan;Senol, Askin;Simsek, Olgun;Tunali, Cenk;•À_oban, Ali;•À_orumlu, •À_aglar"
2002	8.1	Comedy	7 jours au Groland	"Bellocq, Frank;Chaintreuil, Fran•À_ois;Del•À_pine, Beno•À_t;Gravillon, Fabien;Haquin, Vincent;Kafka (I);Kervern, Gustave;Lagin, Adry;Moustic, Jules-Edouard;Pons, Jo•À_l;Salengro, Christophe"
2000	8.5	Comedy	70 m•À_n•À_tur	"Bl•À_ndal, Au•À_unn;J•À_i;Sigf•À_sson, P•À_tur J•À_hann;Simmi (I);Sverrisson, Sverrir •À_•À_r"
2011	9	Comedy	80's Dan	"Foiles, Jerrid;Gobble, David;Jones, Brad (VII);Lewis, Brian (XIV);Mitchelle, Ryan;Norvell, Jake;Roth, Steve (VII);Walker, Rob (XIX)"
2011	8.3	Drama	9ine	"Julien, Terrence;Kunstmann, Paul;Langham, Wallace;McDaniel, Jonathan 'Lil J';Moreno, Ken;Parke, Evan (I);Siew, Jonny (I);Sowelle, Esequiel Osaze;Starr, Jamie (I);White, Brian (XXXIV)"
2012	8.4	Family	:Presentes	"Alonso G•À_mez, Diego;Andrade, Walter;Campomenosi, Daniel;Condito, Nicol•À_s;Emanero;Goldschmidt, Nicol•À_s;Lombardo, Javier;Marmorato, Mat•À_as;Serrano, Juli•À_n"
2009	8.7	Comedy	3	"Chandler, Christian Weston;Iglesias, Gabriel (IV);Johnson, Ray William;Lee, Bobby (I);Miller, T.J.;Williams, Robin (I)"
2012	8.8	Comedy	@TheBar	"Brilhart, Sam;Capps, Merrill"
2013	8.9	Comedy	A Crazy Leo Show	"Brando, Marlon;Einstein, Albert;Thimo, Leonard"
2010	8.8	Drama	A Drop of True Blood	"Bauer, Chris (I);Brooks, Mehcad;Ellis, Nelsan;Fuller, Leon 'Lee';Hillard, John;Kwanten, Ryan;Moyer, Stephen;Parrack, Jim;Raymond-James, Michael;Skarsg•À_rd, Alexander;Trammell, Sam"
1966	8.8	Drama	A Farewell to Arms	"Adorni, Guido;Armstrong, Paul (II);Benedetti, Jean;Chitty, Erik;De Wolff, Francis;Denton, Roy;Elliott, Peter (I);Farhi, Moris;Fontana, Alvaro;Francis, Dean (II);Hamilton, George (I);Healy, David (I);Huntley, Martyn;Jaffe, Carl;Lloyd, Bernard;Mellinger, Michael;Payne, Laurence (I);Plytas, Steve;Rayner, David (I);Spenser, David;Stephens, P.G.;Sutherland, Donald (I);Zenios, George"
