Conference,Year,Title,PaperType,Authors,Keywords
Vis,1991,Achieving direct volume visualization with interactive semantic region selection,C,Terry S. Yoo;Ulrich Neumann;Henry Fuchs;Stephen M. Pizer;Tim J. Cullip;John Rhoades;Ross T. Whitaker,
Vis,1991,Span filtering: an optimization scheme for volume visualization of large finite element models,C,Richard S. Gallagher,
Vis,1991,Visualization of equations in an interactive environment,C,David Watson;Jakub Wejchert;David W. Williams;Bri M. Collins,
Vis,1991,The asymptotic decider: resolving the ambiguity in marching cubes,C,Gregory M. Nielson;Bernd Hamann,
Vis,1991,Acoustic imaging: the reconstruction of underwater objects,C,Lawrence J. Rosenblum;Behzad Kamgar-Parsi;Edward O. Belcher;Ola Engelsen,
Vis,1991,Computer assisted sphere packing in higher dimensions,C,Nelson L. Max,
Vis,1991,The electronic structure of oxygen in silicon as revealed by volume visualization of Ab initio calculations,C,Robert H. Wolfe;Mark Needels;John D. Joannopoulos,
Vis,1991,Golf green visualization,C,William E. Lorensen;Boris Yamron,
Vis,1991,The stream polygon: A technique for 3D vector field visualization,C,William J. Schroeder;Christopher R. Volpe;William E. Lorensen,
Vis,1991,The hyperbox,C,Bowen Alpern;Larry Carter,
Vis,1991,Gray scale diagrams as business charts,C,W. R. Feeney,
Vis,1991,Shadowed hedgehogs: a technique for visualizing 2D slices of 3D vector fields,C,R. Victor Klassen;Steven J. Harrington,
Vis,1991,Interactive data visualization using focusing and linking,C,Andreas Buja;John Alan McDonald;J. Michalak;Werner Stuetzle,
Vis,1991,Color icons: merging color and texture perception for integrated visualization of multiple parameters,C,Haim Levkowitz,
Vis,1991,Visualization and analysis of multi-variate data: a technique for all fields,C,Ted Mihalisin;John Timlin;John Schwegler,
Vis,1991,The visual comparison of three sequences,C,Kenneth P. Hinkley;Matthew O. Ward,
Vis,1991,Enhanced visualization of multi-dimensional structures. Applications in positron emission tomography and climate data,C,Nahum D. Gershon,
Vis,1991,Topographical mapping of brain electrical activity,C,S. K. Law;P. L. Nunez;A. F. Westdorp;A. V. Nelson;K. L. Pilgreen,
Vis,1991,In vivo blood flow visualization with magnetic resonance imaging,C,Guang-Zhong Yang;Peter Burger;Philip J. Kilner;Raad Mohiaddin,
Vis,1991,Visualizing 4-D medical ultrasound data,C,Nils Thune;BjÃ¸rn Olstad,
Vis,1991,Multi-valued volumetric visualization,C,Thomas A. Foley;David A. Lane,
Vis,1991,Realistic volume imaging,C,Roni Yagel;Arie E. Kaufman;Qiang Zhang,
Vis,1991,A fast ray tracing casting algorithm using adaptive isotriangular subdivision,C,Renben Shu;Alan Liu,
Vis,1991,NetV: an experimental network-based volume visualization system,C,T. Todd Elvins;David R. Nadeau,
Vis,1991,Interactive data exploration with a supercomputer,C,Stuart Smith;Georges G. Grinstein;R. Daniel Bergeron,
Vis,1991,Run-time visualization of program data,C,Allan Tuchman;David Jablonowski;George Cybenko,
Vis,1991,A scientific visualization synthesizer,C,Roger Crawfis;M. J. Allison,
Vis,1991,Integration of visualization and scientific calculation in a software system,C,Ulrich Lang;Ruth E. Lang;Roland RÃ_hle,
Vis,1991,Image handling in a multi-vendor environment,C,David R. Nadeau;T. Todd Elvins;Michael J. Bailey,
Vis,1991,Tree-maps: a space-filling approach to the visualization of hierarchical information structures,C,Brian Johnson;Ben Shneiderman,
Vis,1991,How shall we connect our software tools?,C,Eric Grosse,
Vis,1991,A data model for scientific visualization with provisions for regular and irregular grids,C,Robert B. Haber;Bruce Lucas;Nancy S. Collins,
Vis,1991,"Cooperative, computer-aided design of scientific visualizations",C,Sandeep Kochhar;Mark Friedell;Mark Vincent LaPolla,"Grammar-directed design, cooperative design and modeling, design automation, human-computer interaction, automated design of graphical displays"
Vis,1991,Deixis and the future of visualization excellence,C,William C. Hill;James D. Hollan,
Vis,1991,Visualizing the fourth dimension using geometry and light,C,Andrew J. Hanson;Pheng-Ann Heng,
Vis,1991,Applying 3D visualization techniques to finite element analysis,M,Richard S. Gallagher;Robert B. Haber;Gordon Ferguson;David Parker;Douglas W. Stillman;James Winget,
Vis,1991,Color vs. black-and-white in visualization,M,Haim Levkowitz;Richard A. Holub;Gary W. Meyer;Philip K. Robertson,
Vis,1991,Remote visualization: challenges and opportunities,M,Guru M. Parulkar;Jack Bowie;Hans-Werner Braun;Roch Guerin;Daniel Stevenson,
Vis,1991,How visualization applications drive tool selection: one product can't do it all,M,D. Prawel;M. Brown;C. Harris;R. Kriz;M. Vigil,
Vis,1991,Multimedia environments for scientists,M,Meera M. Blattner;Georges Grinstein;Ephraim P. Glinert;William Hill;Creon Levit;Stuart Smith,
Vis,1991,Volume visualization comes of age: the state of the art in technology and application,M,Vincent Argiro;Mary Whitton;Alan Evans;Wulf Massell;Stephen Paddock;Elliot Fishman,
Vis,1991,Visualisation tools for semiconductor modelling software,C,Duncan Stevenson,
Vis,1991,Visualizing chemical kinetics in fractal domains,C,Neal E. Hurlburt;Lola W. Anacker;Raoul Kopelman,
Vis,1991,Multidimensional real time visualization on personal computers,C,Quentin E. Dolecek,
Vis,1991,Advanced visualization on desktop workstations,C,Steve M. Legensky,
Vis,1991,"Distributed visualization using workstations, supercomputers, and high speed networks",C,David W. Robertson;V. L. Jacobson;William E. Johnston;S. C. Loken;E. H. Theil;B. L. Tieney,
Vis,1991,Designing a distributed scientific visualization tool,C,L. van der Sluis,
Vis,1991,Experiments with interdisciplinary projects and scientific visualization applications at the undergraduate level,C,Nan C. Schaller,
Vis,1991,Visualization in computational fluid dynamics: a case study,C,Robert Haimes;David L. Darmofal,
Vis,1991,Visualizing environmental data for program decision support,C,J. Burnetti;R. Manley;W. Mitchell;D. Varnadore,
Vis,1992,Visualizing a three dimensional hydrodynamic model,C,C. S. Jones;J. A. Baca,
Vis,1992,Case study: visualizing classical problems in CFD,C,Norman J. Zabusky;Deborah Silver,
Vis,1992,Visualization requirements in the atmospheric and environmental sciences (five case study reports),C,Theresa-Marie Rhyne;Mark Bolstad;Penny Rheingans;Lynne Petterson;Walter Shackelford;Mike E. Botts;E. Pepke;K. W. Johnson;William L. Hibbard;Charles R. Dyer;Brian E. Paul;Lloyd Treinish,
Vis,1992,Visualizing seafloor structures with satellite gravity measurements,C,J. McLeod;C. Small,
Vis,1992,The microscopist's workstation,C,Philip J. Mercurio;T. Todd Elvins;Stephen J. Young,
Vis,1992,Visualization of cardiac bioelectricity-a case study,C,Robert S. MacLeod;N. E. Harrison;Christopher R. Johnson 0001;Michael A. Matheson,
Vis,1992,Visualization in anthropology: reconstruction of human fossils from multiple pieces,C,Alan D. Kalvin;David Dean;Jean-Jaques Hublin;M. Braun,
Vis,1992,Visualization of neutron scattering data using AVS,C,R. Popovic,
Vis,1992,Visualizing the Universe,C,M. J. Geller;E. E. Flaco;D. G. Fabricant;B. Estus,
Vis,1992,"Object-oriented, dataflow visualization system-a paradigm shift?",M,William Ribarsky;Bob Brown;Terry Myerson;Richard Feldmann;Stuart Smith;Lloyd Treinish,
Vis,1992,"Visualization in the neurosciences: utility in research, teaching, and clinical practice",M,Stuart A. Tobet;Joan C. King;Steven L. Wertheim;Frank H. Duffy,
Vis,1992,Real virtual environment applications-now,M,Paul T. Breen;Georges G. Grinstein;David W. Mizell;Richard M. Satava;Bradford Smith;Michael M. Stephens;David Zeltzer,
Vis,1992,Improving visualization: theoretical and empirical foundations,M,Stephen M. Kosslyn;Nahum D. Gershon;Haim Levkowitz;Justin D. Pearlman,
