Year	Topic	Title	Author				
2017	High Performance Computing	data;reduction;through;increased;utilization;chemical;dynamics;simulations	Y Chen				
2017	High Performance Computing	pipelining;computation;optimization;strategies;scaling;gromacs;sunway;many-core;processor	Y Chen				
2017	High Performance Computing	openmp;memkind;extension;heterogeneous;physical;memories	Y Chen				
2017	High Performance Computing	iogp;incremental;online;graph;partitioning;algorithm;distributed;graph;databases	Y Chen				
2017	High Performance Computing	ssdup;traffic-aware;ssd;burst;buffer;hpc;systems	Y Chen				
2017	High Performance Computing	pattern-directed;replication;scheme;heterogeneous;object-based;storage	Y Chen				
2017	High Performance Computing	asa-ftl;adaptive;separation;aware;flash;translation;layer;solid;state;drives	Y Chen				
2017	High Performance Computing	poster;iogp;incremental;online;graph;partitioning;large-scale;distributed;graph;databases	Y Chen				
2017	High Performance Computing	big;research	Y Chen				
2017	High Performance Computing	toward;memory-centric;stacked;architecture;extreme-scale;data-intensive;computing	Y Chen				
2017	Data Science	cancerlinker;explorations;cancer;study;network	T Dang				
2017	Data Science	setting;virtual;reality;augmented;reality;learning;environment;unity	T Dang				
2017	Data Science	cactustree;tree;drawing;approach;hierarchical;edge;bundling	T Dang				
2017	Data Science	biolinker;bottom-up;exploration;protein;interaction;networks	T Dang				
2017	Data Science	user;study;techniques;visualizing;structure;connectivity;hierarchical;datasets	T Dang				
2017	Software Engineering	towards;visualizing;big;large-scale;edge;constraint;graph;drawing	Hewett				
2017	Software Engineering	harnessing;power;hashtags;tweet;analytics	Hewett				
2017	Software Engineering	alleviating;eavesdropping;attacks;software-defined;networking;plane	Hewett				
2017	Data Science	natural;language;normalization;approach;enhance;social;media;text;reasoning	F Jin				
2017	Data Science	harvey;flooding;rescue;social;media	F Jin				
2017	Data Science	tracking;multiple;social;media;stock;market;event;prediction	F Jin				
2017	Data Science	absenteeism;detection;social;media	F Jin				
2017	Security	mitigating;stealthy;collision;attack;energy;harvesting;motivated;networks	S Lim				
2017	Security	segmented;arrival;graph;based;evacuation;plan;assessment;algorithm;linear;programming	S Lim				
2017	Security	pseudo;geometric;broadcast;protocols;wireless;sensor;networks;design;evaluation;analysis	S Lim				
2017	Security	probabilistic;cooperative;caching-based;content;subscribing;opportunistic;mobile;networks	S Lim				
2017	Security	active;detection;mitigating;routing;misbehavior;manets	S Lim				
2017	Data Science	review;mongodb;singularity;container;security;regards;hiparegulations	Mengel				
2017	Data Science	secure;nosql;based;medical;processing;retrieval;exposome;project	Mengel				
2017	Data Science	preliminary;investigation;twitter;augment;cvd;exposome;research	Mengel				
2017	Security	handwriting;watcher;mechanism;smartwatch-driven;handwriting;authentication	A Serwadda				
2017	Security	fault;localizations;through;feature;selections	Namin				
2017	Security	framework;developing;brief;interview;understand;cyber;defense;work;experience;report	Namin				
2017	Security	semantic;model;action-based;adaptive;security	Namin				
2017	Security	what;should;cybersecurity;students;learn;school?;results;interviews;cyber;professionals	Namin				
2017	Security	clustering-based;test;case;classification;technique;enhancing;regression;testing	Namin				
2017	Artificial Intelligence	exploring;design;space;metadata-focused;file;management;systems	Richard Watson				
2017	Artificial Intelligence	vicious;circle;principle;formation;sets;asp;based;languages	Yuanlin Zhang				
2017	Artificial Intelligence	online;development;environment;answer set;programming	Yuanlin Zhang				
2017	Artificial Intelligence	logic;programming;introductory;computer;science;course;high;school;students	Yuanlin Zhang				
2017	Artificial Intelligence	online;sparc;drawing;animation	Yuanlin Zhang				
2017	High Performance Computing	memory;capacity-aware;algorithm;fast;clustering;disk-resident;big;datasets	Zhuang				
2017	High Performance Computing	comparison;hash-based;methods;trajectory;clustering	Zhuang				
2017	High Performance Computing	data;reduction;through;increased;utilization;chemical;dynamics;simulations	Zhuang				
2017	High Performance Computing	experimental;study;state-of-the-art;pufs;implemented;fpgas	Zhuang				
2017	High Performance Computing	towards;fast;accurate;machine;learning;attacks;feed-forward;arbiter;pufs	Zhuang				
2018	High Performance Computing	memory;coalescing;hybrid;memory;cube	Y Chen				
2018	High Performance Computing	i/o;characteristics;discovery;cloud;storage;systems	Y Chen				
2018	High Performance Computing	trigger-based;incremental;processing;unified;sync;async;model	Y Chen				
2018	High Performance Computing	pfault;general;framework;analyzing;reliability;high-performance;parallel;file;systems	Y Chen				
2018	High Performance Computing	software-defined;qos;provisioning;framework;hpc;applications	Y Chen				
2018	High Performance Computing	client-side;straggler-aware;i/o;scheduler;object-based;parallel;file;systems	Y Chen				
2018	High Performance Computing	cross-layer;solution;scientific;workflow;system;tackling;movement;challenge	Y Chen				
2018	High Performance Computing	software-defined;approach;qos;control;high-performance;computing;storage;systems	Y Chen				
2018	High Performance Computing	akin;streaming;graph;partitioning;algorithm;distributed;graph;storage;systems	Y Chen				
2018	High Performance Computing	vectorizing;disks;blocks;efficient;storage;system;deep;learning	Y Chen				
2018	Data Science	malviz;interactive;visualization;tool;tracing;malware	T Dang				
2018	Data Science	predict;saturated;thickness;tensorboard;visualization	T Dang
2018	Data Science	commodeler;topic;modeling;community;detection	T Dang
2018	Data Science	representation;small-scale;temporal;patterns	T Dang
2018	Data Science	web-based;virtual reality;development;classroom;learner;perspectives	T Dang
2018	Data Science	creating;virtual reality;augmented reality;development;classroom;hype	T Dang
2018	Data Science	strong;support;exploratory;analysis	T Dang
2018	Data Science	VRescuer;virtual reality;application;disaster;response;training	T Dang
2018	Software Engineering	sounds;cyber;threats	Hewett				
2018	Data Science	smart;connected;water;resource;management;social;media;community;engagement	F Jin				
2018	Data Science	predict;saturated;thickness;tensorboard;visualization	F Jin				
2018	Security	mitigating;suppression;attack;multicast;protocol;low;power;lossy;networks	S Lim				
2018	Security	eyes;mitigating;forwarding;misbehavior;energy;harvesting;motivated;networks	S Lim				
2018	Security	authentication;pedigree;scheme;supply;chain	S Lim				
2018	Security	light-weight;countermeasure;forwarding;misbehavior;wireless;sensor;networks;design;analysis;evaluation	S Lim				
2018	Security	vrsense;validity;region;sensitive;query;processing;strategies;static;mobile;point-of-interests;manets	S Lim				
2018	Security	t-reduce;route-aware;mobile;trajectory;reduction;transportation;management;systems	S Lim				
2018	Data Science	adaptable;multi-phase;rules;infrequent;class	Mengel				
2018	Security	machine;learning;crack;size;estimation;spur;gear;pair;simulated;vibration;data	A Serwadda				
2018	Security	machine;learning;crack;size;estimation;spur;gear;pair;simulated;vibration;data	A Serwadda				
2018	Security	unsure;how;authenticate;your;vr;headset?;come;on;use;your;head!	A Serwadda				
2018	Software Engineering	blackboard;architecture;detecting;notifying;failures;component-based;unmanned;systems	Micheal Shin				
2018	Security	knowledge;skills;abilities;used;penetration;testers;results;interviews;cybersecurity;professionals;vulnerability;assessment;management	Namin				
2018	Security	core;cyber-defense;knowledge;skills;abilities;that;cybersecurity;students;should;learn;school;results;interviews;cybersecurity;professionals	Namin				
2018	Security	testing;multi-threaded;applications;answer set;programming	Namin				
2018	Security	assessing;effectiveness;coverage-based;fault;localizations;mutants	Namin				
2018	Security	malviz;interactive;visualization;tool;tracing;malware	Namin				
2018	Security	detecting;web;spams;evidence;theory	Namin				
2018	Security	uml;diagram;synthesis;techniques;systematic;mapping;study	Namin				
2018	Security	sounds;cyber;threats	Namin				
2018	Security	sounds;cyber;threats	Namin				
2018	Security	forecasting;economics;financial;time;series;arimvs;lstm	Namin				
2018	Security	what;vulnerability;assessment;management;cybersecurity;professionals;think;their;future;colleagues;need;know	Namin				
2018	Security	continuous;authentications;frequent;english;terms	Namin				
2018	Artificial Intelligence	surprising;creativity;digital;evolution;collection;anecdotes;evolutionary;computation;artificial;life;research;communities	Richard Watson				
2018	Artificial Intelligence	accelerating;boolean;satisfiability;(sat);solving;common;subclause;elimination	Yuanlin Zhang				
2018	High Performance Computing	machine;learning-based;security;vulnerability;study;xor;pufs;resource-constraint;internet;things	Zhuang				
2018	High Performance Computing	i/o;characteristics;discovery;cloud;storage;systems	Zhuang				
2018	High Performance Computing	performance;optimizations;scalable;cfd;applications;hybrid;cpu+;mic;heterogeneous;computing;system;millions;cores	Zhuang				
