Year	Topic	Title	Author				
2009	Software Engineering	securing;privacy;composite;web;service;transactions	Hewett				
2009	Software Engineering	scalable;optimized;composition;web;services;complexity;analysis	Hewett				
2009	Software Engineering	automated;test;order;generation;software;component;integration;testing	Hewett				
2009	Software Engineering	efficient;optimized;composition;semantic;web;services	Hewett				
2009	Software Engineering	taking;parnass;principles;next;level;declarative;language;design	Rushton				
2009	Software Engineering	separating;application;security;concerns;use;case;models	Micheal Shin				
2009	Security	influence;size;coverage;test;suite;effectiveness	Namin				
2009	Artificial Intelligence	automated;epilepsy;diagnosis;interictal;scalp;eeg	Yuanlin Zhang				
2009	Artificial Intelligence	solving;connected;row;convex;constraints;variable;elimination	Yuanlin Zhang				
2009	Artificial Intelligence	survey;tree;convex;sets;test	Yuanlin Zhang				
2010	Software Engineering	analytical;approach;attack;graph;analysis;network;security	Hewett				
2010	Security	biometric;enabled;x;509;certificate	S Lim				
2010	Security	analysis;energy;harvesting;vibration-motivated;wireless;sensor;networks	S Lim				
2010	Security	analysis;attack;models;unified;modeling;language;wireless;sensor;networks;survey;study	S Lim				
2010	Security	study;energy;harvesting;aware;routing;vibration-motivated;wireless;sensor;networks	S Lim				
2010	Security	realistic;mobility;model;wireless;networks;scale-free;node;connectivity	S Lim				
2010	Security	bayesian;reasoning;software;testing	Namin				
2010	Security	prioritizing;mutation;operators;based;importance;sampling	Namin				
2010	Security	influence;environmental;parameters;concurrency;fault;exposures;exploratory;study	Namin				
2010	Security	probabilistic;model;effective;mutation;testing	Namin				
2010	Security	predicting;multi-core;performance	Namin				
2010	Security	bayesian;methods;analysis;software;engineering	Namin				
2010	Security	predicting;multi-core;performance;case;study;solaris;containers	Namin				
2010	Security	fast;abstract;stochastic;model-based;testing;human-robot;interaction	Namin				
2010	High Performance Computing	higher-accuracy;schemes;approximating;hessian;electronic;structure;calculations;chemical;dynamics;simulations	Zhuang				
2011	High Performance Computing	towards;scalable;i/o;architecture;exascale;systems	Y Chen				
2011	High Performance Computing	global-aware;multi-order;context-based;prefetching;high-performance;processors	Y Chen				
2011	High Performance Computing	cost-intelligent;application-specific;layout;scheme;parallel;file;systems	Y Chen				
2011	High Performance Computing	hybrid;shared-nothing/shared-data;storage;architecture;large;scale;databases	Y Chen				
2011	High Performance Computing	pac-plru;cache;replacement;policy;salvage;discarded;predictions;hardware;prefetchers	Y Chen				
2011	High Performance Computing	lacio;new;collective;i/o;strategy;parallel;i/o;systems	Y Chen				
2011	Software Engineering	mining;software;defect;support;software;testing;management	Hewett				
2011	Software Engineering	application;runtime;framework;model-driven;development	Hewett				
2011	Software Engineering	toward;identification;key;breakers;social;cyber-physical;networks	Hewett				
2011	Security	consens;consistency-sensitive;opportunistic;access;wireless;networks	S Lim				
2011	Security	cache;invalidation;strategies;internet-based;vehicular;ad;hoc;networks	S Lim				
2011	Security	unified;modeling;language;based;analysis;security;attacks;wireless;sensor;networks;survey	S Lim				
2011	Security	use;mutation;testing;experiments;its;sensitivity;external;threats	Namin				
2011	Security	evaluation;mutation;data-flow;testing;meta-analysis	Namin				
2011	Security	para;--partial;higher-order;mutation;tool;concurrency;operators	Namin				
2011	Artificial Intelligence	astrea;answer sets;trusted;reasoning;environment;agents	Richard Watson				
2011	Artificial Intelligence	temporally;expressive;planner;based;answer set;programming;constraints;preliminary;design	Richard Watson				
2011	Artificial Intelligence	set;intersection;consistency;constraint;networks	Yuanlin Zhang				
2011	Artificial Intelligence	medical;treatment;conflict;resolving;answer set;programming	Yuanlin Zhang				
2011	Artificial Intelligence	acsolver;algorithm;means;transitions;systems	Yuanlin Zhang				
2011	Artificial Intelligence	temporally;expressive;planner;based;answer set;programming;constraints;preliminary;design	Yuanlin Zhang				
2011	High Performance Computing	poster;rethinking;raid;ssd;based;hpc;systems	Zhuang				
2011	High Performance Computing	remote;cae;collaborative;design;system;complex;product;based;design;resource;unit	Zhuang				
2011	High Performance Computing	parallel;domain;decomposition;algorithm;solving;equation;nitric;oxide;diffusion;nervous;system	Zhuang				
2012	High Performance Computing	improving;analysis;performance;high-performance;computing;integrating;statistical;metadata;scientific;datasets	Y Chen				
2012	High Performance Computing	poster;memory-conscious;collective;i/o;extreme-scale;hpc;systems	Y Chen				
2012	High Performance Computing	algorithm-level;feedback-controlled;adaptive;prefetcher;accelerating;access;high-performance;processors	Y Chen				
2012	High Performance Computing	dosas;mitigating;resource;contention;active;storage;systems	Y Chen				
2012	High Performance Computing	chaio;enabling;hpc;applications;data-intensive;file;systems	Y Chen				
2012	High Performance Computing	decoupled;execution;paradigm;data-intensive;high-end;computing	Y Chen				
2012	High Performance Computing	dynamic;active;storage;high;performance;i/o	Y Chen				
2012	High Performance Computing	checkpointing;orchestration;toward;scalable;hpc;fault-tolerant;environment	Y Chen				
2012	High Performance Computing	storage-efficient;prefetching;high;performance;computing	Y Chen				
2012	High Performance Computing	new;sieving;approach;high;performance;i/o	Y Chen				
2012	Software Engineering	program;spectra;analysis;theory;evidence	Hewett				
2012	Software Engineering	protecting;advertisers;against;click;frauds	Hewett				
2012	Security	factors;predicting;pre-service;teachers;adoption;web;20;technologies	S Lim				
2012	Security	improving;robustness;partitionable;internet-based;mobile;ad;hoc;networks	S Lim				
2012	Security	when;dynamic;source;routing;(dsr);meets;ieee;80211;power;saving;mode;(psm)	S Lim				
2012	Security	anthony;j;onwuegbuzie;eunjin;hwang;julie;p;combs;john;r;slate	S Lim				
2012	Security	energy;model;applications;running;multicore;systems	Namin				
2012	Artificial Intelligence	new;incarnation;action;language;h	Richard Watson				
2012	Artificial Intelligence	review;tree;convex;sets;test	Yuanlin Zhang				
2012	Artificial Intelligence	temporally;expressive;planning;based;answer set;programming;constraints	Yuanlin Zhang				
2012	High Performance Computing	evaluating;accuracy;hessian;approximations;direct;dynamics;simulations	Zhuang				
2012	High Performance Computing	poster;memory-conscious;collective;i/o;extreme-scale;hpc;systems	Zhuang				
2012	High Performance Computing	efficient;parabolic;solvers;scalable;across;multi-architectural;levels	Zhuang				
2012	High Performance Computing	new;sieving;approach;high;performance;i/o	Zhuang				
2013	High Performance Computing	special;issue;programming;models;systems;software;tools;high-end;computing	Y Chen				
2013	High Performance Computing	multilevel;active;storage;big;applications;high;performance;computing	Y Chen				
2013	High Performance Computing	locality-driven;high-level;i/o;aggregation;processing;scientific;datasets	Y Chen				
2013	High Performance Computing	segmented;analysis;reducing;movement	Y Chen				
2013	High Performance Computing	pattern-models;guide;ssd;deployment;big;applications;hpc;systems	Y Chen				
2013	High Performance Computing	unified;efficient;hec;storage;system;working-set;based;reorganization;scheme	Y Chen				
2013	High Performance Computing	runtime;system;design;decoupled;execution;paradigm;data-intensive;high-end;computing	Y Chen				
2013	High Performance Computing	fast;analysis;integrated;statistical;metadata;scientific;datasets	Y Chen				
2013	High Performance Computing	data;deduplication;hybrid;architecture;improving;write;performance	Y Chen				
2013	High Performance Computing	memory-conscious;collective;i/o;extreme;scale;hpc;systems	Y Chen				
2013	High Performance Computing	cost-intelligent;application-specific;layout;optimization;parallel;file;systems	Y Chen				
2013	High Performance Computing	hierarchical;i/o;scheduling;collective;i/o	Y Chen				
2013	High Performance Computing	pattern-models;guide;ssd;deployment;big;hpc;systems	Y Chen				
2013	High Performance Computing	rethinking;high;performance;computing;system;architecture;big;applications	Y Chen				
2013	Software Engineering	securing;system;controllers;critical;infrastructures	Hewett				
2013	Software Engineering	exploit-based;analysis;attack;models	Hewett				
2013	Software Engineering	cyberbulling;game;models	Hewett				
2013	Security	dependability;security;wireless;ad;hoc;sensor;networks;their;applications	S Lim				
